:instance,:|V|,:|A|,:|B|,:T,:model,:initialLP,:yLP,:yLPTime,:intersectionCuts1,:intersectionCuts2,:intersectionCutsTime,:maxFlowLP,:maxFlowCuts,:maxFlowCutsTime,:lazyCuts,:cost,:solverTime,:relativeGAP,:nodeCount,:meters,:tourMinutes,:blocksMeters
notified-limoeiro-1000-2015,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,54.0,900.898833990097,-,-,-,-,-
notified-limoeiro-1000-2016,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,71.0,901.1852128505707,-,-,-,-,-
notified-limoeiro-1000-2017,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,121.0,902.2020180225372,-,-,-,-,-
notified-limoeiro-1000-2018,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,129.0,902.4529161453247,-,-,-,-,-
notified-limoeiro-1000-2019,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,181.0,900.0856189727783,-,-,-,-,-
notified-limoeiro-1000-2020,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,605.0,901.3224658966064,-,-,-,-,-
notified-limoeiro-1000-2021,290,83810,152,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,613.0,900.1641621589661,-,-,-,-,-
notified-limoeiro-2000-2015,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,51.0,902.988804101944,-,-,-,-,-
notified-limoeiro-2000-2016,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,72.0,907.9574959278107,-,-,-,-,-
notified-limoeiro-2000-2017,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,109.0,904.3988130092621,-,-,-,-,-
notified-limoeiro-2000-2018,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,109.0,901.57146692276,-,-,-,-,-
notified-limoeiro-2000-2019,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,109.0,901.9068381786346,-,-,-,-,-
notified-limoeiro-2000-2020,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,208.0,900.535041809082,-,-,-,-,-
notified-limoeiro-2000-2021,757,572292,443,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,212.0,910.0980648994446,-,-,-,-,-
notified-limoeiro-3000-2015,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,46.0,903.6745569705963,-,-,-,-,-
notified-limoeiro-3000-2016,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,67.0,910.6112968921661,-,-,-,-,-
notified-limoeiro-3000-2017,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,103.0,905.627377986908,-,-,-,-,-
notified-limoeiro-3000-2018,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,103.0,914.7272489070892,-,-,-,-,-
notified-limoeiro-3000-2019,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,103.0,911.4047989845276,-,-,-,-,-
notified-limoeiro-3000-2020,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,230.0,903.0673689842224,-,-,-,-,-
notified-limoeiro-3000-2021,905,818120,517,120.0,BKRGA,-,-,-,-,-,-,-,-,-,-,242.0,913.3171699047089,-,-,-,-,-
